name	weight	day	reps
Clean	155	2011-03-29	1
Deadlift	235	2011-04-04	1
Snatch	105	2011-04-13	1
Deadlift	285	2011-04-20	1
Front Squat	135	2011-06-06	1
Back Squat	205	2011-06-27	1
Deadlift	305	2011-06-27	1
Deadlift	235	2011-12-07	3
Deadlift	255	2012-01-30	3
Clean	165	2012-02-01	1
Back Squat	170	2012-02-03	3
Back Squat	180	2012-02-14	3
Front Squat	145	2012-02-17	1
Front Squat	155	2012-05-31	1
Deadlift	260	2012-06-18	3
Front Squat	160	2012-06-19	1
Overhead Squat	95	2012-06-22	1
Deadlift	270	2012-09-18	3
Deadlift	315	2012-10-26	1
Clean	180	2012-12-11	1
Clean & Jerk	155	2012-12-11	1
Front Squat	175	2012-12-11	1
Overhead Squat	110	2012-12-11	1
Push Jerk	135	2012-12-11	1
Push Press	130	2012-12-11	1
Shoulder Press	120	2012-12-11	1
Snatch	115	2012-12-11	1
Squat Snatch	75	2012-12-11	1
Sots Press	15	2012-12-11	1
Squat Clean	115	2012-12-11	1
Front Squat	160	2012-12-11	3
Clean	150	2012-12-11	3
Clean	165	2012-12-11	3
Overhead Squat	95	2012-12-11	3
Deadlift	215	2012-12-11	5
Overhead Squat	95	2012-12-11	5
Shoulder Press	95	2012-12-11	5
Deadlift	225	2012-12-12	5
Deadlift	305	2012-12-13	1
Back Squat	150	2012-12-14	5
Clean	150	2012-12-14	5
Front Squat	150	2012-12-14	5
Snatch	100	2012-12-14	5
Squat Snatch	75	2012-12-17	3
Squat Clean	120	2012-12-19	3
Sots Press	15	2012-12-20	3
Sots Press	25	2012-12-21	3
Clean & Jerk	140	2012-12-21	3
Sots Press	15	2012-12-21	5
Squat Clean	105	2012-12-28	5
Push Jerk	100	2012-12-29	5
Sots Press	30	2012-12-31	1
Snatch	115	2012-12-31	3
Push Press	135	2013-01-02	3
Deadlift	270	2013-01-07	5
Squat Snatch	80	2013-01-08	5
Clean & Jerk	145	2013-01-09	5
Push Press	110	2013-01-11	5
Push Jerk	140	2013-01-21	3
Back Squat	190	2013-01-22	3
Thruster	160	2013-01-25	1
Shoulder Press	110	2013-01-25	3
Front Squat	180	2013-01-25	3
Back Squat	165	2013-01-30	5
Deadlift	285	2013-02-04	3
Shoulder Press	115	2013-02-05	3
Clean	170	2013-04-01	3
Snatch	135	2013-04-06	1
Snatch	125	2013-04-06	3
Deadlift	330	2013-04-19	1
Deadlift	310	2013-04-19	3
Overhead Squat	100	2013-04-29	3
Clean & Jerk	170	2013-04-30	1
Push Jerk	140	2013-05-03	5
Deadlift	210	2013-05-06	5
Shoulder Press	100	2013-05-07	5
Front Squat	145	2013-05-07	5
Sots Press	20	2013-05-10	5
Overhead Squat	100	2013-05-10	5
Deadlift	230	2013-05-27	5
Shoulder Press	105	2013-05-28	5
Front Squat	160	2013-06-12	3
Overhead Squat	80	2013-06-24	3
Shoulder Press	100	2013-07-19	3
Deadlift	225	2013-07-29	3
Shoulder Press	115	2013-10-21	3
Deadlift	265	2013-11-22	1
Deadlift	235	2013-11-22	3
Deadlift	285	2013-11-29	1
Deadlift	245	2013-11-29	3
Deadlift	270	2013-12-06	3
Deadlift	245	2013-12-14	3
Deadlift	270	2014-01-02	1
Deadlift	255	2014-01-02	3
Shoulder Press	120	2014-01-17	1
Deadlift	285	2014-01-17	1
Shoulder Press	110	2014-01-17	3
Deadlift	265	2014-01-17	3
Deadlift	275	2014-01-24	3
Overhead Squat	85	2014-01-24	5
Deadlift	210	2014-02-01	5
Overhead Squat	95	2014-02-01	5
Overhead Squat	100	2014-02-13	5
Overhead Squat	120	2014-02-19	1
Overhead Squat	110	2014-02-19	3
Overhead Squat	105	2014-02-19	5
Snatch	105	2014-03-21	5
Deadlift	245	2014-05-01	5
Overhead Squat	120	2014-06-06	1
Front Squat	170	2014-06-27	3
Front Squat	155	2014-07-26	5
Deadlift	290	2014-08-15	1
Front Squat	190	2014-08-27	1
Push Jerk	165	2014-08-29	1
Push Jerk	155	2014-09-24	1
Deadlift	250	2014-10-10	5
Shoulder Press	100	2014-10-15	5
Snatch	105	2014-10-23	3
Overhead Squat	125	2014-11-28	1
Deadlift	215	2015-01-31	5
Deadlift	300	2015-02-13	1
Clean	190	2015-02-20	1
Deadlift	275	2015-05-20	1
